citrus fruit,semi-finished bread,margarine,ready soups
tropical fruit,yogurt,coffee
whole milk
pip fruit,yogurt,cream cheese ,meat spreads
other vegetables,whole milk,condensed milk,long life bakery product
whole milk,butter,yogurt,rice,abrasive cleaner
rolls/buns
other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer)
pot plants
whole milk,cereals
tropical fruit,other vegetables,white bread,bottled water,chocolate
citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes
beef
frankfurter,rolls/buns,soda
chicken,tropical fruit
butter,sugar,fruit/vegetable juice,newspapers
fruit/vegetable juice
packaged fruit/vegetables
chocolate
specialty bar
other vegetables
butter milk,pastry
whole milk
tropical fruit,cream cheese ,processed cheese,detergent,newspapers
tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner
bottled water,canned beer
yogurt
sausage,rolls/buns,soda,chocolate
other vegetables
brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags
yogurt,beverages,bottled water,specialty bar
hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins
root vegetables,other vegetables,whole milk,beverages,sugar
pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner
beef,grapes,detergent
pastry,soda
fruit/vegetable juice
canned beer
root vegetables,other vegetables,whole milk,dessert
citrus fruit,zwieback,newspapers
sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags
tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy
berries,yogurt
canned beer
butter milk,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,newspapers
coffee
pastry,bottled water
rolls/buns
misc. beverages
root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product
sausage,rolls/buns,cat food,newspapers
canned beer
ham,grapes,other vegetables,whole milk
turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice
whole milk,yogurt,processed cheese,pickled vegetables,soda
whole milk,curd,yogurt,pastry
packaged fruit/vegetables,brown bread,canned beer
rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins
ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food
rolls/buns,pastry,sugar
other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent
sausage,pastry
sausage,beef,whole milk
frankfurter,tropical fruit,rolls/buns,brown bread,sugar
rolls/buns,pastry,soda
whole milk
curd cheese,coffee
red/blush wine,newspapers
sausage,whole milk,curd
tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate
red/blush wine
whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds)
frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers
whole milk,meat spreads,soda
frozen potato products
other vegetables,whole milk,rolls/buns,sugar
citrus fruit,whole milk,curd,butter milk,pastry
flour,salt,bottled water,fruit/vegetable juice,bottled beer
sugar,bottled water,soda,bottled beer
frozen meals,coffee
chocolate
root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner
root vegetables,onions,hard cheese,frozen vegetables
herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles
bottled water
sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent
coffee,newspapers
pork,other vegetables,whipped/sour cream
berries,yogurt
soda
berries
fruit/vegetable juice,salty snack,candles
citrus fruit,butter milk,yogurt,cream cheese 
pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate
detergent
grapes,photo/film
sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags
chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent
whole milk,yogurt,brown bread
citrus fruit,tropical fruit
soda,misc. beverages
sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner
frankfurter,rolls/buns,bottled water
sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags
soda
rolls/buns,fruit/vegetable juice
beef,citrus fruit,berries,root vegetables,brown bread,detergent
whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags
processed cheese
tropical fruit,pip fruit
frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes
packaged fruit/vegetables,bottled water
whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers
berries,whipped/sour cream
citrus fruit,berries,UHT-milk,processed cheese
tropical fruit,whole milk,yogurt
hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine
hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes
whole milk,cream cheese ,soda
fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags
frankfurter,sausage,long life bakery product,waffles
packaged fruit/vegetables,dessert,semi-finished bread,canned beer
pastry,soda
other vegetables,red/blush wine
misc. beverages
frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles
sparkling wine
specialty bar
sausage,butter milk,rolls/buns
curd cheese
frankfurter,dessert
whole milk,yogurt,beverages,brown bread,shopping bags
newspapers
berries,soda
curd,flour,liquor (appetizer)
tropical fruit,other vegetables,coffee
soda
rolls/buns,Instant food products
canned beer
canned beer
frankfurter,sausage,whole milk,rolls/buns,margarine
other vegetables,misc. beverages,canned beer
whole milk,frozen vegetables
whole milk
citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers
frankfurter,rolls/buns
frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder
butter milk,yogurt,honey,soda,detergent
hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care
pasta,popcorn
other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags
sausage,pork,citrus fruit,dessert,white bread,dishes,candles
rolls/buns
grapes,other vegetables,curd,dessert,yogurt,napkins
root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer
coffee,shopping bags
popcorn
whole milk,rolls/buns,sugar,bottled water,soda
tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products
beef,herbs,flour,cling film/bags,flower soil/fertilizer
whole milk,butter,dessert,rolls/buns
frankfurter,soda,chewing gum
tropical fruit,specialty cheese,bottled water
canned beer
finished products,other vegetables,frozen vegetables,bottled beer
beverages,soda
hamburger meat,root vegetables,whole milk
whole milk,pastry,long life bakery product
finished products,white wine,shopping bags
other vegetables
ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer
other vegetables
curd,butter milk,cocoa drinks,salty snack,popcorn
bottled beer
curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags
whole milk,cream cheese ,cereals,dog food
whole milk,salt
dessert,ice cream
sausage,soft cheese,coffee
other vegetables,bottled water,waffles,dishes,shopping bags
ham,whole milk,rolls/buns
other vegetables,ice cream
other vegetables,bottled water
soda,bottled beer,white wine,prosecco
herbs,candy
frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese ,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles
rolls/buns,canned beer
curd,cream cheese ,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags
frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags
other vegetables
dog food
specialty bar
curd,salt,liquor (appetizer),detergent,shopping bags
frankfurter,rolls/buns
soda
beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread
canned beer
pork,beef,pip fruit,herbs,spices
frankfurter,citrus fruit,UHT-milk,margarine,sugar
sausage,bottled beer,liquor (appetizer)
canned beer
specialty chocolate
curd,rolls/buns
canned beer
whole milk,bottled water,newspapers
rolls/buns,chewing gum
pork,root vegetables,other vegetables,whole milk,dishes
citrus fruit,pastry
pot plants
rolls/buns,pastry,soda
butter,yogurt,bottled water,soda,make up remover,hygiene articles
condensed milk,sugar,coffee,shopping bags
sausage,other vegetables,yogurt,soda,shopping bags
whole milk,beverages,UHT-milk,soda
sausage,pork,beef,whole milk,rolls/buns,margarine
beverages
beverages,specialty bar
bottled water,fruit/vegetable juice
newspapers
cleaner,female sanitary products
sausage,soda,newspapers,shopping bags
newspapers
sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware
misc. beverages,newspapers
white wine
sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags
meat,curd,bottled beer,cake bar
frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags
ice cream,rolls/buns,canned beer
canned beer
tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags
meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese ,rolls/buns,brown bread,tea,bottled water
whole milk,mustard,bottled water
sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds)
frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product
meat,other vegetables,butter,rolls/buns
root vegetables,beverages,Instant food products,pickled vegetables,detergent
root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns
whole milk,whipped/sour cream,semi-finished bread,margarine
citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins
citrus fruit,curd,pastry,margarine,sugar,candy,newspapers
other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins
citrus fruit,whole milk,rolls/buns
sausage,oil,hygiene articles,napkins
frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer
hard cheese,rolls/buns,bottled water,newspapers
cream cheese ,rolls/buns,soda,chocolate
turkey,beef,frozen vegetables,dishes,photo/film
pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags
whole milk,beverages
rolls/buns,soda
sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles
ice cream
liquor
pip fruit,other vegetables,fruit/vegetable juice
root vegetables,other vegetables,yogurt
soda
soda
sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers
root vegetables,whole milk,pet care,detergent
pork,berries,root vegetables,other vegetables,pastry,specialty bar
pork
chocolate
fruit/vegetable juice
pickled vegetables,coffee
bottled water
frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices
tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins
canned beer
root vegetables
meat,citrus fruit,berries,root vegetables,whole milk,soda
frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles
tropical fruit,margarine,rum
tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles
citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese ,domestic eggs,brown bread,margarine,baking powder,waffles
hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice
chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles
chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns
frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda
canned beer
turkey,pip fruit,salad dressing,pastry
packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages
pasta
citrus fruit,tropical fruit
sausage,whole milk,yogurt,rolls/buns,brown bread,pot plants
whole milk,frozen meals,pastry,fruit/vegetable juice,waffles
canned beer
citrus fruit,sugar,sauces
liquor (appetizer)
citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags
sausage
chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins,newspapers
hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour,margarine
sausage,pork,other vegetables,dessert,yogurt,oil,soda
beef,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner
citrus fruit,packaged fruit/vegetables,yogurt,bottled water
UHT-milk,coffee
candy
newspapers
beef,citrus fruit,other vegetables,yogurt
sausage,rolls/buns
frankfurter,beef,root vegetables,curd,dessert,yogurt,soft cheese,rolls/buns,mustard,pickled vegetables,canned beer,hygiene articles,napkins
canned beer
bottled beer
onions,soda,chewing gum,chocolate,newspapers
tropical fruit,packaged fruit/vegetables,cream cheese ,white bread,candy
bottled water,white wine
beef,white bread,pastry,pasta,soap
sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner
hair spray
chicken,whole milk,spices,long life bakery product,shopping bags
pork,citrus fruit,brown bread,pastry,sugar,cat food
ice cream
meat,hard cheese,bottled beer
other vegetables,yogurt,brown bread,instant coffee
bottled water,cake bar
tropical fruit,soda,salty snack
photo/film
sausage,citrus fruit,yogurt,coffee,soda,canned beer,dishes
grapes,root vegetables
domestic eggs,brown bread,photo/film
rolls/buns,canned fish,canned beer
tropical fruit,whole milk
chicken
frankfurter,other vegetables,yogurt,brown bread,bottled water
berries,root vegetables,other vegetables,curd,butter milk,cream cheese ,roll products ,margarine,misc. beverages,specialty chocolate,detergent
margarine,hygiene articles
tropical fruit,yogurt,rolls/buns,soda,shopping bags
ham,other vegetables,whipped/sour cream,hard cheese,rolls/buns,soda,misc. beverages,chocolate,candy
hamburger meat,white bread,salty snack
yogurt,mayonnaise,rolls/buns,soda,napkins
soda,specialty chocolate
yogurt
soda
bottled water
sausage,meat,hamburger meat,rubbing alcohol
citrus fruit,pip fruit,beverages,hard cheese,pet care,soda,fruit/vegetable juice,waffles
shopping bags
newspapers
frankfurter,other vegetables,whole milk,curd,frozen potato products,zwieback,specialty bar,dish cleaner
sausage,citrus fruit,whole milk,canned beer
frankfurter,rolls/buns
salt,salty snack,cookware
oil
curd,beverages,cream cheese ,rolls/buns,pastry,soda,cake bar,chewing gum
other vegetables,butter,specialty chocolate
citrus fruit
frankfurter,whole milk,butter milk
root vegetables,whole milk,butter,processed cheese,mayonnaise,salty snack
tropical fruit,whole milk,frozen meals,bottled beer
beef,hamburger meat,pip fruit
berries,whipped/sour cream,cereals,waffles,shopping bags
canned beer
whipped/sour cream,canned beer,red/blush wine
root vegetables,domestic eggs,margarine,chocolate marshmallow,candy
whole milk,soda
beef
frozen vegetables
rolls/buns,bottled beer
whole milk,hygiene articles
whole milk
citrus fruit,whole milk,curd,soft cheese
pastry,fruit/vegetable juice
frankfurter,sausage,pork,pip fruit,butter,processed cheese,white bread,brown bread
tropical fruit,root vegetables,whole milk,whipped/sour cream,domestic eggs
frankfurter,sausage,root vegetables,yogurt,whipped/sour cream,pastry,napkins
berries,root vegetables,other vegetables,packaged fruit/vegetables,whole milk,curd,curd cheese,cat food,specialty bar,detergent
rolls/buns,brown bread,pastry,coffee,bottled beer
root vegetables,packaged fruit/vegetables,curd,dessert,frozen vegetables,specialty fat,coffee
yogurt
other vegetables,bottled water
berries,white bread
berries,coffee
other vegetables,butter milk,frozen meals,bottled water
rolls/buns,newspapers
ham,citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry,waffles,hygiene articles
whole milk,frozen dessert,salty snack,napkins
tropical fruit,butter milk,rolls/buns,bottled water
bottled water
butter milk,yogurt
newspapers
coffee
bottled beer,liquor
onions,butter,whipped/sour cream,hard cheese,frozen vegetables,pasta,specialty fat,syrup,candy,napkins,cling film/bags
hamburger meat,hard cheese,frozen meals,pasta,dog food,salty snack,shopping bags
sausage,liver loaf,other vegetables,cream cheese ,pastry,soap,shopping bags
hard cheese,pastry,napkins
sausage,tropical fruit,condensed milk,rolls/buns
hamburger meat
onions,whole milk,beverages,frozen dessert
coffee
shopping bags
yogurt,rolls/buns,pastry,bottled water,soda,shopping bags
soda
sliced cheese
sausage,whole milk,coffee
yogurt,chocolate
domestic eggs,rolls/buns,dish cleaner,hygiene articles
whole milk
meat,other vegetables,whole milk,whipped/sour cream
dish cleaner,bathroom cleaner,hygiene articles,napkins
other vegetables,red/blush wine
whole milk,butter milk,yogurt,sliced cheese,rolls/buns,sweet spreads,coffee,fruit/vegetable juice,long life bakery product,shopping bags
other vegetables,whole milk,rolls/buns,Instant food products
tropical fruit,other vegetables
baking powder,bottled water,salty snack,chewing gum
specialty bar
ice cream
frankfurter,yogurt
canned beer
bottled water
other vegetables,whole milk,rolls/buns,margarine,bottled water,bottled beer
citrus fruit,tropical fruit,onions,other vegetables,shopping bags
sausage,ham,hamburger meat,whole milk,soda,softener,newspapers
domestic eggs,rolls/buns,specialty bar,napkins
pork,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,hygiene articles
specialty cheese,frozen vegetables,coffee,soda,fruit/vegetable juice,salty snack
pork,citrus fruit,pip fruit,yogurt,fruit/vegetable juice,sparkling wine
beef,berries,whipped/sour cream,domestic eggs,rolls/buns
other vegetables,pet care
chicken,yogurt,sliced cheese,rolls/buns,chewing gum,dishes
soda,chewing gum
whole milk
rolls/buns
bottled beer
root vegetables,pastry,bottled water,male cosmetics
pastry
berries,pet care,cake bar,shopping bags
citrus fruit,tropical fruit,root vegetables,yogurt,canned vegetables,bottled water,soda,softener
whole milk,oil,canned fruit,fruit/vegetable juice
soda,misc. beverages
bottled water,soda
tropical fruit,other vegetables,rolls/buns
salty snack
bottled water,canned beer
chocolate
citrus fruit,UHT-milk,cream cheese ,frozen vegetables
bottled water,canned beer,male cosmetics
onions,other vegetables,pastry,bottled water,soda,napkins
dessert,oil,cat food,soda
beef,other vegetables,whole milk,frozen potato products,rolls/buns,oil,margarine,coffee,dental care,hygiene articles,newspapers
rolls/buns,zwieback,bottled water,misc. beverages,bottled beer,canned beer,brandy
beef,tropical fruit,root vegetables,onions,other vegetables,instant coffee,soda
soda
coffee,hygiene articles
rolls/buns,brown bread,bottled water
pork,beef,hamburger meat,other vegetables,whole milk,frozen vegetables,rolls/buns,margarine,shopping bags
soda,canned beer,liquor (appetizer),hygiene articles,napkins,newspapers
sausage,ham,other vegetables,ice cream,white bread
beef,root vegetables,other vegetables,rolls/buns,sugar
whole milk,butter,bottled water,bottled beer
pork,ice cream,hygiene articles,house keeping products
berries,packaged fruit/vegetables,whole milk,ice cream,fruit/vegetable juice,salty snack,specialty bar
sausage,other vegetables,curd,yogurt,whipped/sour cream,frozen vegetables,rolls/buns,roll products 
bottled water,misc. beverages,cling film/bags
tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,hard cheese,frozen dessert,rice,bottled water
herbs,bottled water
yogurt,rolls/buns
Instant food products
specialty chocolate
coffee
bottled beer,liquor
beef,root vegetables
whole milk,honey,waffles
frankfurter,rolls/buns,pastry,snack products,specialty bar
frankfurter,sausage,liver loaf,root vegetables,curd,frozen vegetables,rolls/buns,semi-finished bread,hygiene articles,photo/film
other vegetables,whole milk,cream cheese 
frankfurter,root vegetables,pickled vegetables,soda,seasonal products
whole milk,rolls/buns,newspapers
frankfurter,margarine,dental care
other vegetables,salty snack
bottled water,shopping bags
pork,onions,whole milk,butter,rolls/buns,pastry,rum,hygiene articles
bottled water
other vegetables,whipped/sour cream,specialty cheese,domestic eggs
hamburger meat,whole milk,curd,pasta,canned beer
hamburger meat,citrus fruit,other vegetables
shopping bags
whole milk,cream cheese ,soda,fruit/vegetable juice
ice cream
pastry,bottled water
ham,pip fruit,whole milk,curd,dessert,butter milk,whipped/sour cream,sliced cheese,cream cheese ,white bread,coffee,long life bakery product,chocolate,baby cosmetics
frankfurter,soda
sausage,turkey,beef,root vegetables,domestic eggs,rolls/buns,flour,rice,organic products,misc. beverages,napkins
bottled beer
bottled water,bottled beer,napkins
meat,other vegetables,hard cheese,frozen meals,bottled water,soda
dessert,candy
other vegetables,packaged fruit/vegetables,UHT-milk,bottled water
beverages,rolls/buns,soda
ham,mustard,canned fish
specialty bar
brown bread,soda,salty snack,shopping bags
whole milk,cream cheese ,coffee
rolls/buns,pastry,red/blush wine
bottled beer,nut snack
pet care,bottled beer
citrus fruit,other vegetables,soda
pork,other vegetables,frozen vegetables,hygiene articles
other vegetables,shopping bags
white wine,detergent
whole milk,dessert,bottled water
pip fruit,white wine,shopping bags
sugar,soda,bottled beer
tropical fruit,pip fruit,rolls/buns,coffee,fruit/vegetable juice,candy
root vegetables,cream cheese ,spread cheese,frozen dessert,white bread,bottled water,soda,misc. beverages,fruit/vegetable juice,bottled beer
soda,misc. beverages
whole milk,curd
tropical fruit,other vegetables,yogurt,bottled water,male cosmetics
white bread,brown bread
brown bread,sugar,hygiene articles
tropical fruit,root vegetables,coffee,bottled water,red/blush wine,candy,house keeping products,shopping bags
domestic eggs
coffee,detergent,hygiene articles,photo/film
soda
whole milk
bottled beer
pork,beef,berries,packaged fruit/vegetables,whole milk,mayonnaise,frozen fish,frozen potato products,oil,mustard,cat food,coffee,soda,chocolate,dish cleaner,napkins,newspapers
other vegetables,yogurt
yogurt,bottled water,dishes
sparkling wine
bottled water,candy
citrus fruit,berries,other vegetables,butter milk,sugar,fruit/vegetable juice,hygiene articles
hamburger meat,root vegetables,other vegetables,whole milk,rolls/buns
packaged fruit/vegetables,seasonal products
other vegetables,margarine
soda
whole milk,yogurt,frozen potato products,margarine,bottled water,fruit/vegetable juice,salty snack
herbs,yogurt
citrus fruit,spread cheese,rolls/buns,soda
misc. beverages
female sanitary products
soda
tropical fruit,whole milk,beverages,white bread,pasta,shopping bags
soda,female sanitary products
white bread,bottled water,soda,waffles
coffee,chewing gum,chocolate marshmallow
tropical fruit,root vegetables,whole milk,frozen vegetables,honey,baking powder,coffee,red/blush wine,chocolate marshmallow
pork,pip fruit,whole milk,butter milk
citrus fruit,bottled water
frankfurter
frankfurter,rolls/buns
frankfurter,tropical fruit,pip fruit,curd,UHT-milk,hard cheese,domestic eggs,rolls/buns,hygiene articles,napkins,shopping bags
other vegetables
yogurt,fruit/vegetable juice,newspapers
sausage,whole milk,yogurt,brown bread,cereals,bottled water,soda
whole milk
pip fruit,whole milk,curd,pastry,bottled water
whole milk
root vegetables,other vegetables
onions,fruit/vegetable juice
specialty chocolate
hamburger meat,domestic eggs
photo/film
rolls/buns,soda,snack products,newspapers
canned beer
canned beer
other vegetables,curd,frozen meals,frozen potato products,soda,bottled beer,kitchen towels,candles
canned beer
curd,whipped/sour cream,rolls/buns,zwieback,spices
butter,fruit/vegetable juice,newspapers
other vegetables,whole milk,yogurt,domestic eggs,bottled water,soda
whole milk
beef,tropical fruit,herbs,whole milk,curd,yogurt,whipped/sour cream,sliced cheese
sausage,rolls/buns
soda
fruit/vegetable juice,long life bakery product
rolls/buns,coffee,long life bakery product,detergent,shopping bags
pip fruit,whole milk,bottled water,candy
frozen vegetables,bottled beer,liquor (appetizer),chewing gum,napkins,newspapers
beverages
hamburger meat,root vegetables,other vegetables,domestic eggs,roll products ,oil,margarine,hygiene articles
root vegetables,other vegetables,whole milk,yogurt,fruit/vegetable juice,white wine
canned beer
frozen vegetables,bottled beer
canned beer
newspapers
rolls/buns
hamburger meat,UHT-milk,salty snack
pip fruit,whole milk,curd,rum
